iter	Logloss
0	0.6791843247
1	0.6663978449
2	0.6544722858
3	0.6446743891
4	0.6345469091
5	0.6252419042
6	0.6166102058
7	0.6097980379
8	0.6048815187
9	0.598691379
10	0.5921229283
11	0.586170376
12	0.5823936559
13	0.5789507697
14	0.5736227298
15	0.5705798149
16	0.5662388779
17	0.5637150173
18	0.560060965
19	0.5574742563
20	0.5539668147
21	0.5518594872
22	0.5498085988
23	0.5476996811
24	0.5444438219
25	0.5426179593
26	0.5409298118
27	0.5391185114
28	0.536852225
29	0.5353651432
30	0.5333487508
31	0.5317778332
32	0.5305957894
33	0.5292813279
34	0.5278247162
35	0.5266869453
36	0.5250706798
37	0.5234754964
38	0.521732908
39	0.5205872127
40	0.5190432715
41	0.5176550026
42	0.5168472387
43	0.5158458808
44	0.515042507
45	0.5142360915
46	0.5134512728
47	0.5127527452
48	0.5117701551
49	0.5108755273
50	0.5103411624
51	0.5098072701
52	0.5088899039
53	0.508108217
54	0.507257682
55	0.5066974197
56	0.5061874949
57	0.5056958962
58	0.5052291369
59	0.5047926349
60	0.5044466114
61	0.5039465764
62	0.503626351
63	0.5032607616
64	0.502961439
65	0.5026214206
66	0.5022857345
67	0.5019542483
68	0.5016240242
69	0.5013254291
70	0.5009970313
71	0.5007333215
72	0.5003873277
73	0.5001397639
74	0.4999134346
75	0.4996417844
76	0.4992034922
77	0.4989871132
78	0.4987632962
79	0.4985261801
80	0.4983493925
81	0.4981071678
82	0.4979530659
83	0.4975952707
84	0.4974043381
85	0.4972250037
86	0.497054117
87	0.4967038716
88	0.4965132598
89	0.4963360518
90	0.4961795591
91	0.4960614138
92	0.4959405049
93	0.495656407
94	0.4955374587
95	0.4953390242
96	0.4950984185
97	0.4949901269
98	0.4947458517
99	0.4946166882
100	0.4945186473
101	0.4943397243
102	0.4942088882
103	0.494110151
104	0.493983236
105	0.4938729728
106	0.4936621154
107	0.4935600481
108	0.4934375202
109	0.4933255498
110	0.4932367141
111	0.493164831
112	0.4930361166
113	0.4929665334
114	0.4928915848
115	0.4928230522
116	0.4927251446
117	0.4925951761
118	0.4925183729
119	0.4924546898
120	0.492383561
121	0.4922761935
122	0.4922151042
123	0.4921545849
124	0.4920664415
125	0.491950842
126	0.4918909202
127	0.4918006116
128	0.4917352424
129	0.4916799436
130	0.4915447524
131	0.4914888813
132	0.4914377203
133	0.4913873568
134	0.4913456848
135	0.49129595
136	0.4912309448
137	0.4911856476
138	0.4911483111
139	0.4910985942
140	0.4910607487
141	0.490943127
